Cliente;Data_Cadastro;Telefone;Email;Valor_Compra;Status;Categoria;ID_Produto;Endereco;Estado;CEP;Produto;Quantidade;Forma_Pagamento;Observacao
Enrico Fernandes;2025-01-03;(071) 8372-9097;nascimentomaria-vitoria@ig.com.br;445.54;;Móveis;RW07-71Xb;Fernandes;AM;97768-056;Cadeira;5;;
Srta. Clarice Pereira;28/06/2023;+55 (061) 9610 8725;costelaenzo@bol.com.br;5340,47;INATIVO;Roupas;Tw49-72kz;Rua de da Rocha, 7, Comiteco, 36128222 Martins / DF;XX;10748408;Camisa;2;;Cliente VIP
Sra. Guilherme Pires;2023-12-16;84 6043-8716;aragaocaio@ig.com.br;8281.55;Inativo;Eletrônicos;sj35-46Kt;Morro Gonçalves, 3, Ápia, 57388493 Moura de Cardoso / AM;RS;25679-569;Tablet;;Boleto;
Dr. Kevin Castro;16/05/2024;(061) 1730-9280;gnascimento@fernandes.com;6743,7;Inativo;Móveis;MR15-22cp;Alameda Davi Lucca Porto, 29, Vila Sesc, 26562850 Nunes das Flores / ES;XX;77113451;Cadeira;;;Cliente VIP
Sra. Camila Rocha;12/09/2023;71 4346-4027;ramoslivia@cardoso.com;1668,08;ativo;Roupas;AP65-33hM;Morro Danilo Novaes, 986, Mineirão, 98156-181 Monteiro / SC;MG;94491452;Calça;;PIX;
Isabelly Barbosa;2025-03-27;(061) 8450 4499;danilo38@da.br;5544,12;INATIVO;Alimentos;ls19-76SM;das Neves de Sales;SP;54672-289;Chocolate;;;Entregar urgente
Dr. Sr. Lucas Fernandes;28/09/2024;0800-866-1850;felipeoliveira@gmail.com;283.14;Ativo;Roupas;LL99-47uY;Trevo Pires, 69, Vila Independencia 1ª Seção, 57084005 Castro da Praia / AM;SP;91987617;Calça;;Cartão;Cliente VIP
Dra. Enzo Gabriel Ribeiro;2025-01-05;(081) 8066-6939;da-pazrebeca@bol.com.br;5020.23;Inativo;Eletrônicos;Vy65-27fo;Aeroporto da Luz, 97, Distrito Industrial Do Jatoba, 99804088 Silva de Sales / BA;RS;76251955;Fone de Ouvido;3;Cartão;
Srta. Ana Luiza Barbosa;2024-11-19;+55 51 7710 5840;helena96@uol.com.br;5061.48;ativo;Eletrônicos;at87-28wT;Avenida de Castro, Vila Da Amizade, 19145222 Farias de Almeida / AP;MG;54721-809;Notebook;2;Dinheiro;Entregar urgente
Sr. Davi Fernandes;20/11/2024;5531904382854;juliamendes@yahoo.com.br;6394.93;INATIVO;Roupas;TU54-23gF;Núcleo Martins, Vila União, 39378797 Farias / MA;MG;60631-513;Camisa;3;;
Sr. Otávio da Mata;10/09/2024;5581975014765;barrosmariana@hotmail.com;6207,64;Em análise;Roupas;YV90-69SL;Martins;SP;31277-695;Jaqueta;;;Atraso na entrega
Dra. Sabrina Pereira;2024-11-24;5521927402323;fpires@almeida.org;8184,59;INATIVO;Roupas;sD89-44AL;Conjunto da Costa, 53, Leticia, 35438-578 Moreira da Serra / PB;XX;59377-180;Camisa;3;dinheiro;Atraso na entrega
Gustavo Costela;13/09/2024;5584980998091;maria-sophiacaldeira@lima.com;6930.86;;Móveis;xc95-64ck;Esplanada de da Mata, 3, Jardim Do Vale, 58455109 das Neves do Sul / RO;AM;58797-;Mesa;;Cartão;Entregar urgente
vitória fernandes;2025-03-24;(011) 2013-6313;da-conceicaoanthony@rezende.com;5628.63;INATIVO;Eletrônicos;LK21-51LT;Aeroporto de Rodrigues, 684, Vila Da Ária, 43790-701 Moreira / SP;SP;31088631;Tablet;;Boleto;Entregar urgente
Dra. Ana Clara da Mata;2024-07-01;31 3055-1000;augustomoraes@correia.com;9605,91;Em análise;Móveis;Yc95-84JZ;da Rosa;RS;73322775;Armário;;dinheiro;Entregar urgente
isabella costela;2023-06-04;(061) 4117-7612;augustoalves@araujo.com;3994,31;;Alimentos;qA81-40rQ;Área Natália Vieira, 53, Santa Terezinha, 42499-194 Campos / PB;MG;77712025;Café;;PIX;Atraso na entrega
Ana Julia Almeida;2023-09-25;5541986772973;azevedoisabel@gmail.com;3410.34;;Alimentos;Aa59-11eH;Silveira de Oliveira;MG;36183-980;Chocolate;;;Cliente VIP
Sra. Isabelly da Cruz;2023-09-01;5521964208304;murilorocha@dias.net;5069.06;ativo;Móveis;Lg13-38Nu;Cardoso;AM;14404-914;Mesa;3;Boleto;Atraso na entrega
Dr. Luiz Otávio Rodrigues;04/12/2023;+55 84 7134-4070;carvalhobianca@silveira.org;3787.0;;Eletrônicos;tR39-32Ey;Rua Viana, 490, Jardim Felicidade, 76120-379 Nascimento da Praia / MA;AM;99525-139;Notebook;;Boleto;Atraso na entrega
sr. juan caldeira;03/01/2025;5511935479867;fcardoso@da.org;1812,54;ativo;Móveis;cb25-69wZ;Avenida de Ramos, 434, Vila Madre Gertrudes 4ª Seção, 94138-718 Fernandes de Jesus / PI;XX;19637-592;Armário;;PIX;Cliente VIP
Dra. João Miguel Lima;2023-07-31;+55 (051) 7689-5451;goncalvesrafaela@moreira.br;9243,16;;Móveis;tu79-06hV;Ladeira Theo Freitas, Estrela Do Oriente, 02848651 Rocha dos Dourados / ES;SP;28026333;Cadeira;;Boleto;Entregar urgente
dra. vitória almeida;2024-05-23;0500-670-2658;vicente80@da.com;5463.91;;Roupas;bp98-56pO;Passarela Araújo, 714, Camargos, 56212-875 Campos da Mata / MS;RJ;71942-;Vestido;;Boleto;Cliente VIP
Dra. Nathan Porto;2023-05-15;11 5912-2834;barroslaura@uol.com.br;1659.36;Em análise;Roupas;VI54-22eq;Fazenda Maria Sophia Souza, 54, Vila Paraíso, 58505301 Moura de Minas / RS;RS;16138-067;Camisa;;dinheiro;Cliente VIP
Stella da Cruz;07/04/2024;11 6179 0846;bryan86@bol.com.br;4288.72;INATIVO;Alimentos;cB57-36vh;Trevo Vieira, Antonio Ribeiro De Abreu 1ª Seção, 08013032 Carvalho / MT;RS;73705371;Bolacha;;Boleto;Cliente VIP
Maria Julia Freitas;2024-06-22;+55 (081) 8562 7688;heitor96@alves.br;8873.3;INATIVO;Móveis;Hb89-66LI;Castro da Prata;SP;94562432;Cadeira;;;Cliente VIP
ana da costa;26/01/2025;+55 61 9196 8389;trocha@caldeira.net;4318,54;Inativo;Alimentos;RX16-98Cj;Alameda de da Cunha, 8, Mangabeiras, 57251151 Azevedo de Goiás / PR;SP;64274429;Refrigerante;;dinheiro;Atraso na entrega
Dr. Ana Clara Rezende;09/08/2023;5581953705672;ndias@peixoto.br;2620.79;Em análise;Alimentos;YL38-36rZ;Área Rocha, 28, Acaba Mundo, 47434-690 da Mata / DF;RS;64863373;Bolacha;;Dinheiro;Entregar urgente
Fernanda Costela;2023-11-17;0300 951 2423;mariamelo@pereira.com;5228,05;INATIVO;Eletrônicos;AJ25-76kY;Nunes Verde;RJ;96770217;Notebook;4;;Atraso na entrega
Maria Eduarda Cavalcanti;15/09/2023;84 4630 8696;matheus07@ig.com.br;5721,85;Inativo;Móveis;Jp39-49SN;Largo de Ramos, 75, Universitário, 49999777 da Rosa do Sul / SP;MG;55068646;Cadeira;;Boleto;Cliente VIP
emanuelly pinto;16/06/2023;+55 81 2337-7312;thalesdias@moraes.br;7665,18;Inativo;Móveis;IE42-17Az;Fazenda Paulo Freitas, 84, Ouro Preto, 19578-083 Jesus / AL;RS;61932-117;Cadeira;;Dinheiro;Entregar urgente
Paulo Campos;2024-06-27;+55 (081) 7668 8538;sapiente@velit;6660,52;Inativo;Eletrônicos;Bl10-82Jb;Loteamento de da Rocha, Vila São Gabriel Jacui, 28592-049 Peixoto / SC;XX;54355546;Tablet;;Cartão;
sr. joaquim ferreira;2024-02-15;+55 31 5006 3676;mariane89@pereira.com;814,13;Em análise;Eletrônicos;vg98-48SJ;Trevo Pereira, 551, Pedreira Padro Lopes, 73466-572 Azevedo do Campo / CE;RS;630196;Tablet;;Dinheiro;
Kaique Gonçalves;15/09/2024;+55 61 4898 7706;lopesamanda@souza.com;401.69;Inativo;Móveis;WC71-31eI;Estação João Gabriel Nascimento, 73, Milionario, 30357-362 Novaes / ES;RJ;295925;Armário;;;Cliente VIP
Sr. João Lucas da Mata;2023-07-24;(011) 1252 9681;praesentium@cupiditate;1679.14;Em análise;Móveis;oY93-18ZR;Via Kevin da Mata, 999, Céu Azul, 40085550 Fogaça / RO;RJ;46305-199;Cadeira;1;Boleto;Atraso na entrega
Sra. Manuela Farias;08/12/2024;71 1768 8212;bda-mata@bol.com.br;7803.42;Em análise;Alimentos;HR70-28gp;Núcleo Costa, 372, Nazare, 84960745 Pereira / AM;RS;12264300;Café;;Dinheiro;Cliente VIP
Dr. Breno Farias;25/07/2023;+55 51 8790 2645;rodriguesmatheus@fogaca.com;2475.34;;Móveis;oD38-09Yv;Feira Maria Clara Caldeira, 28, Boa Esperança, 07213846 Souza / RR;AM;68661751;Cadeira;;dinheiro;Atraso na entrega
Dra. Clarice Araújo;09/07/2023;5581965025052;marinaaraujo@silveira.br;3965,93;;Roupas;vP42-58lZ;Vale de Correia, Santa Cruz, 42967-654 Cardoso / BA;SP;61867-926;Calça;;;Atraso na entrega
Sr. Thomas Ramos;2024-09-26;0300-402-0759;facilis@ipsum;7955,58;Inativo;Eletrônicos;fA79-53Ft;Largo Sabrina Nascimento, 676, Vila Real 2ª Seção, 21632-041 Souza das Flores / MG;AM;33835445;Tablet;;Dinheiro;
vitor gabriel da luz;2024-10-17;+55 (031) 5046-8992;laviniamoura@araujo.org;8431,15;INATIVO;Roupas;st44-23YK;Pinto de Goiás;XX;16535084;Calça;;Cartão;Cliente VIP
Vitor Gabriel da Costa;30/09/2024;5571933284213;cardosofernanda@hotmail.com;7445.24;;Roupas;jZ04-29VA;Vale Cecília Nunes, 17, Vila Minaslandia, 19067-108 Ferreira do Norte / RN;SP;12841570;Camisa;2;Cartão;Atraso na entrega
sarah fernandes;2023-07-06;+55 21 5357-6608;novaesdanilo@bol.com.br;2691,73;Inativo;Roupas;Ie22-34St;Trecho Pereira, 55, Santa Cruz, 30661-962 da Rocha Alegre / PE;SP;35982171;Camisa;;PIX;
Dr. Maria Julia Nogueira;2023-11-21;0500-263-0159;otaviopeixoto@gmail.com;4523,17;;Roupas;Mi17-78JF;Castro Verde;SP;01243-249;Jaqueta;;;Entregar urgente
Ana Lívia Santos;2024-12-08;(061) 8397-5418;wcorreia@uol.com.br;4185.46;ativo;Alimentos;LK02-46BM;Vale Lucas Gabriel Cavalcanti, Petropolis, 40300358 da Conceição / SE;MG;427936;Refrigerante;;Cartão;Entregar urgente
Sr. Sr. Vicente Cunha;2024-10-09;+55 (031) 6459 3737;cferreira@rezende.net;2238,09;INATIVO;Roupas;EL77-18GP;Travessa Kamilly Duarte, 955, Conjunto Celso Machado, 03884-732 Castro / SP;SP;77398-932;Vestido;5;;Entregar urgente
Dra. Maria Fernanda Rocha;07/09/2023;71 0912-1796;tdias@gmail.com;3710.76;Inativo;Móveis;sC51-49ZY;Farias;AM;41149-229;Sofá;3;Boleto;Atraso na entrega
Dra. Sr. João Nunes;20/01/2024;0300-257-9230;vianayago@gmail.com;257.19;;Móveis;wc06-38OF;Largo de da Mota, 27, Serra Do Curral, 53736-500 Duarte / BA;MG;36187563;Armário;2;Dinheiro;
Dr. Diogo Rodrigues;2024-08-26;11 1408 7511;bryan72@ig.com.br;3379.14;;Eletrônicos;qd34-61YE;Feira Julia Ferreira, 85, Vila Da Amizade, 22896500 da Cunha de Martins / PA;MG;53161-384;Fone de Ouvido;;Boleto;Entregar urgente
laura cardoso;10/02/2024;51 9368 4454;melomaite@yahoo.com.br;333,71;Em análise;Móveis;Wl57-06BR;Chácara Eduarda Rocha, 7, São Luiz, 52046-117 Cavalcanti / SE;XX;08446715;Mesa;2;Cartão;Entregar urgente
Luana Rodrigues;02/08/2024;11 9751 5997;emoreira@gmail.com;9848,14;Ativo;Roupas;Fp42-54Uu;Sítio de Barros, Providencia, 64773-868 Rodrigues / RS;RS;94879-054;Camisa;;Dinheiro;
Emilly da Luz;19/01/2024;+55 (061) 3905-7670;jsantos@ribeiro.com;9994.47;ativo;Alimentos;Ux22-91bZ;Chácara Farias, 1, Brasil Industrial, 02589518 Lopes de Vieira / PI;SP;83694-433;Café;;Dinheiro;Entregar urgente
mirella farias;15/02/2025;5581962672040;da-rochabianca@das.com;5604,72;Ativo;Alimentos;Ut58-87DS;Jardim de Caldeira, 73, Jardim Dos Comerciarios, 19837-246 das Neves / PR;SP;98582017;Refrigerante;;;Cliente VIP
maria vitória lima;2024-05-15;0800 077 6846;da-rochasofia@yahoo.com.br;4448.5;Em análise;Roupas;TF30-16iA;Viela Pires, 958, Ápia, 92360040 da Luz / SC;SP;15406991;Calça;;;
sr. ian moura;2023-09-23;+55 81 6866 7940;jviana@yahoo.com.br;6782,4;Ativo;Eletrônicos;rW32-74vs;Favela Beatriz Moraes, 95, São Sebastião, 42440463 Carvalho do Amparo / MT;XX;716611;Fone de Ouvido;5;dinheiro;
milena farias;14/04/2024;+55 61 6439 8923;andre34@monteiro.br;1577.16;Em análise;Roupas;ES79-26HB;Setor de Cunha, 91, Conjunto Celso Machado, 34950-411 Pereira / RS;AM;10377-419;Calça;;Cartão;Atraso na entrega
Emanuella Mendes;21/03/2025;84 8238-8021;fariasjulia@da.org;8639.68;Ativo;Alimentos;ME02-27uG;Feira Ana Beatriz Monteiro, 49, Goiania, 28907-030 Lima / RR;SP;64751941;Chocolate;;Cartão;Entregar urgente
Isadora Pires;2024-09-26;21 7179 1380;aliquam@accusantium;8288.06;;Alimentos;wQ54-10Pp;Melo de Moreira;SP;35812-095;Bolacha;;PIX;Entregar urgente
sarah da conceição;22/04/2024;5561994301784;maria-vitoria00@ig.com.br;465.08;;Eletrônicos;Gs64-19Pz;Avenida Sales, 8, Conjunto Bonsucesso, 92513-726 Freitas de Azevedo / SP;RJ;40968-308;Notebook;;Boleto;
Dr. Dr. Anthony Fogaça;2023-10-08;5531996498450;joanada-conceicao@yahoo.com.br;3196,91;Em análise;Eletrônicos;hX37-82AS;Trevo de Farias, 491, Vila Trinta E Um De Março, 05686-631 Cavalcanti do Campo / CE;RS;43516021;Notebook;;dinheiro;Cliente VIP
Dr. Lorenzo Oliveira;2025-02-27;41 1644-8768;anthonyfogaca@da.com;4975.34;;Alimentos;nI98-46mw;Sítio Nunes, 83, Santo Agostinho, 60123-236 Novaes do Amparo / RJ;XX;46649765;Café;5;Dinheiro;Cliente VIP
Sr. Isadora Silveira;24/11/2023;+55 84 1378-9805;jfogaca@bol.com.br;9398,38;ativo;Eletrônicos;KE62-11gr;Sales;RS;86854-009;Fone de Ouvido;3;PIX;Cliente VIP
luigi silva;2025-02-18;+55 31 4052 7689;poliveira@ig.com.br;428,91;Em análise;Roupas;DL82-09yJ;Campo de Duarte, 240, Parque São José, 19411-669 Lima / AC;MG;87777-368;Calça;5;;Atraso na entrega
Sra. Enrico da Rocha;2024-03-27;(051) 7024 0742;noahnogueira@viana.org;4526.42;Ativo;Eletrônicos;Dj89-62LG;Travessa de da Rosa, Vila Madre Gertrudes 4ª Seção, 23416922 da Mata do Campo / AC;SP;28143054;Tablet;1;Boleto;
Dra. Natália Almeida;12/02/2024;5531936225995;da-conceicaonathan@da.br;5355.62;Ativo;Alimentos;xe52-84fW;Travessa de Nascimento, 89, São Pedro, 10846325 Lima de Nunes / RJ;MG;11245652;Café;;Cartão;Atraso na entrega
Laura Jesus;06/03/2024;5571990445371;moraespedro@uol.com.br;2061.15;Inativo;Alimentos;sm51-20ip;Parque Maria Julia Carvalho, 23, Alto Dos Pinheiros, 06288479 Cardoso / RN;SP;26133595;Café;1;Dinheiro;
joaquim fogaça;19/04/2025;5521947229810;ana-sophia46@viana.com;6208,23;Ativo;Eletrônicos;ZY88-42Oi;Vale Dias, 13, Glória, 58222-066 da Cunha / SC;RJ;98343-;Tablet;5;Dinheiro;
Sr. Pedro Nogueira;2024-05-23;+55 (084) 0890-8106;piresluna@hotmail.com;7770,59;Ativo;Roupas;zO08-30BR;Área de Moraes, 64, Boa União 1ª Seção, 04257865 Farias / GO;SP;14684-528;Jaqueta;3;dinheiro;Entregar urgente
Thomas Teixeira;15/09/2023;0500-260-1725;cgomes@oliveira.br;673,12;INATIVO;Eletrônicos;st72-55kC;Chácara de Ferreira, 36, Outro, 27984-758 Rezende / PR;AM;27495-910;Tablet;;;
Sr. Leandro Carvalho;10/06/2023;+55 81 8067-8251;maysa41@moreira.com;2377.12;INATIVO;Alimentos;Dy55-23uf;Carvalho de Barbosa;RJ;24105-339;Café;;Boleto;Cliente VIP
Dra. João Lucas Lima;25/12/2023;41 0481-6565;thalescardoso@costela.net;7748.49;Em análise;Eletrônicos;iJ95-10XX;Correia da Serra;SP;64145-293;Notebook;;dinheiro;Cliente VIP
Dra. Vitória Campos;19/06/2023;5571999207806;vel@odio;4620.69;INATIVO;Alimentos;oG71-56CX;Vieira;RJ;70381-648;Refrigerante;3;Dinheiro;Cliente VIP
kamilly nogueira;16/02/2025;0800-026-9182;ana39@barros.com;6768,38;Ativo;Móveis;ST74-18qS;Rua Duarte, 3, Carlos Prates, 16434-749 da Cunha / MG;SP;37358182;Armário;3;dinheiro;Cliente VIP
Sr. Vinicius da Cruz;09/05/2024;(071) 7032-2272;giovannarocha@pires.com;9523.59;Inativo;Móveis;zu84-91hZ;Avenida de Silveira, Mantiqueira, 76169717 Costa / BA;XX;17148412;Cadeira;4;;Atraso na entrega
Sra. Srta. Juliana Fogaça;02/11/2023;5521921142983;mollitia@aut;2033.62;Ativo;Roupas;VG69-35kS;Setor Cardoso, 58, Piratininga, 52942-125 Dias / MG;RS;15306475;Camisa;;Cartão;Entregar urgente
Dr. Manuela Lopes;11/12/2024;+55 (061) 9629 1725;ana-juliaalmeida@lopes.br;2723.81;Inativo;Móveis;EU66-80GZ;Conjunto de Silva, 94, Satelite, 88426254 da Cunha de Ribeiro / SP;MG;14751874;Mesa;;Boleto;Entregar urgente
Nina Silveira;2024-03-27;71 0530 6275;luana58@uol.com.br;4514.49;Ativo;Eletrônicos;qh81-11Wj;Estação de Nogueira, 277, Novo Ouro Preto, 08750-909 Novaes da Serra / PE;RS;06332-499;Notebook;;Dinheiro;Entregar urgente
bárbara caldeira;2023-05-21;5584966433128;hic@molestias;3518.35;ativo;Móveis;kK58-67Nh;Trecho da Cunha, Aarão Reis, 64166696 Monteiro de Goiás / MG;RJ;97393003;Cadeira;;Dinheiro;Cliente VIP
João Gabriel Dias;24/05/2023;+55 31 4525 8027;eius@ex;9940,65;Inativo;Roupas;MJ02-09OA;Núcleo Mariane Mendes, 93, Saudade, 80408-133 Araújo / AC;RS;76784523;Camisa;;Dinheiro;Entregar urgente
camila pires;31/12/2024;(081) 2333-2445;rodriguesdanilo@dias.org;8653.28;Em análise;Roupas;AE66-33ql;Distrito Eduarda Azevedo, 7, Novo Glória, 67193996 Costa dos Dourados / MT;RJ;68986-;Calça;;Boleto;Cliente VIP
nicolas rezende;2024-05-26;41 7783-9695;luiz-henriquelima@yahoo.com.br;5230,52;Inativo;Eletrônicos;Cw06-17lH;Fazenda de Alves, 788, Paulo Vi, 34836-764 Peixoto / RO;MG;89906-975;Notebook;;dinheiro;
Samuel Castro;15/06/2024;+55 11 4597 5278;csilva@hotmail.com;1001,07;Ativo;Roupas;ph08-28Jk;Residencial de Barros, Andiroba, 55554961 Moraes de Peixoto / MT;AM;20570-912;Jaqueta;;PIX;Atraso na entrega
Kaique Almeida;2023-05-02;5561958764950;rezendemaria-alice@da.br;7633.67;INATIVO;Eletrônicos;jZ97-51MS;da Cruz;MG;96566268;Notebook;;;Cliente VIP
enrico da paz;26/03/2024;+55 11 6785-2746;uribeiro@bol.com.br;1348,46;Em análise;Eletrônicos;JQ66-32uE;Duarte;SP;52180959;Notebook;5;Boleto;Entregar urgente
Dr. Luna da Luz;06/06/2023;0800-420-1699;luiz-henrique90@hotmail.com;3147,91;INATIVO;Eletrônicos;hs41-57wG;Morro Giovanna Rocha, 64, Pongelupe, 75173152 Costa / PA;MG;75962293;Tablet;;Dinheiro;Entregar urgente
Ana Julia Rocha;18/06/2024;(061) 7528-2569;sda-cunha@moraes.com;3898,1;Inativo;Alimentos;oE14-60fL;Residencial de Nunes, 58, Pousada Santo Antonio, 81615-901 Cardoso / AM;RS;593718;Café;;;Cliente VIP
Dra. Sr. Enzo Gabriel Caldeira;2024-12-10;(081) 7736-8128;sferreira@bol.com.br;149.85;Em análise;Móveis;Zq74-49Bs;Travessa de Santos, 147, Santa Tereza, 05264505 Santos / DF;MG;84498400;Armário;3;;
kaique dias;27/02/2025;51 5957 2393;goncalvesmariane@castro.br;9011.28;Em análise;Móveis;WC70-14Rz;Travessa Luiza das Neves, 47, Maria Goretti, 48777-655 Santos Grande / PA;RS;24046-260;Mesa;;;Atraso na entrega
Dr. Juliana Porto;2023-07-18;71 6554-5890;ycunha@da.net;7462.63;INATIVO;Eletrônicos;zm15-20aH;Oliveira;SP;97298400;Tablet;;dinheiro;Atraso na entrega
Alícia Aragão;28/10/2024;+55 (051) 9128 7550;ana-sophiapires@sales.br;848,27;Ativo;Eletrônicos;TO71-84Lv;Costela;SP;42753-380;Notebook;;;Entregar urgente
ana carolina rodrigues;2024-12-28;+55 21 2696-7902;fariasana-julia@silveira.com;9293,83;Ativo;Alimentos;wx86-52jY;Alves;MG;71397015;Café;;Dinheiro;Cliente VIP
Sr. Thomas Cunha;2024-08-01;+55 (011) 2660 3424;joao-gabriel99@jesus.br;1407,57;;Alimentos;bP06-07BV;Largo Thomas Freitas, 42, Heliopolis, 72259734 Rocha da Praia / DF;RS;14708-374;Refrigerante;2;Dinheiro;Atraso na entrega
João Guilherme Nascimento;2024-12-17;+55 (041) 4002-4977;msilveira@campos.br;7202.3;Em análise;Eletrônicos;Jv79-91TG;Duarte da Mata;XX;09033812;Fone de Ouvido;1;;Cliente VIP
Sophie Azevedo;14/07/2024;(051) 5583-9027;fernando03@bol.com.br;906.15;Ativo;Móveis;pk11-77LL;Feira Oliveira, 30, Vila Califórnia, 12396210 Ferreira de Minas / CE;MG;69902021;Armário;;Cartão;Atraso na entrega
Guilherme Pinto;16/09/2024;(084) 7594 2440;joao-lucas69@duarte.com;2689.46;Ativo;Roupas;Zm31-49zU;Feira Isis Silva, 23, Colégio Batista, 37389-703 Silveira da Serra / RR;MG;77387375;Jaqueta;3;dinheiro;Entregar urgente
samuel das neves;02/07/2024;5561922792803;iaragao@viana.br;4893.04;ativo;Alimentos;mb20-45LW;Cardoso de Sales;MG;62899021;Refrigerante;;PIX;Entregar urgente
Gabriel Fogaça;2024-07-04;(061) 5482-9941;gteixeira@freitas.br;3225,18;INATIVO;Eletrônicos;Fa88-53aQ;Ramos;RS;46656-443;Smartphone;1;Boleto;Cliente VIP
gabriela ferreira;31/10/2024;(071) 5536 4210;nathan83@da.com;1003,78;Em análise;Eletrônicos;TF13-47kx;Trecho da Rocha, 40, Conjunto Capitão Eduardo, 77152-450 Peixoto / RN;RS;78471687;Notebook;5;PIX;Cliente VIP
Nicolas Monteiro;2023-05-09;5511914968916;deleniti@facere;3530.86;Inativo;Alimentos;gl48-34Lu;Ferreira de Gonçalves;SP;36876639;Refrigerante;;Boleto;Cliente VIP
ana júlia vieira;2023-12-17;5561978795572;zmoura@mendes.org;3731,93;;Roupas;hy12-13nr;Morro Jesus, 3, Vila São Paulo, 50312001 da Mata de Fogaça / RR;RJ;65269-240;Jaqueta;;dinheiro;Atraso na entrega
cauã moraes;2023-07-11;5561918040278;wgoncalves@hotmail.com;1380.17;Inativo;Roupas;hW43-08tZ;Conjunto de da Costa, 898, Morro Dos Macacos, 94912709 Martins Paulista / DF;AM;77883102;Calça;;Boleto;Atraso na entrega
Sra. Maria Vitória Nascimento;2024-09-06;+55 (041) 9102-5590;fernandespedro@ig.com.br;3972,78;Ativo;Eletrônicos;CU45-98dw;Jardim da Cunha, Bom Jesus, 70641087 Silveira do Campo / PA;XX;78065-841;Tablet;2;Boleto;Cliente VIP
Heloísa Azevedo;11/01/2024;+55 (051) 4644-5310;oda-conceicao@fogaca.org;7959.69;ativo;Alimentos;iW11-63SN;da Mata de Goiás;SP;70992-200;Chocolate;;PIX;Cliente VIP
Srta. Evelyn Barbosa;2024-01-12;5541922459475;mariane40@ig.com.br;8289,03;ativo;Roupas;Pd74-41qM;Conjunto Pereira, 89, Maravilha, 19402-451 Silveira / AC;XX;78235451;Camisa;;;Cliente VIP
Sr. Joana Santos;19/09/2024;+55 (061) 7818 9154;isabellymoreira@da.com;1376,69;INATIVO;Alimentos;ms72-30qu;Quadra Raul da Conceição, 16, Betânia, 44024-950 Freitas Grande / GO;RS;13533225;Café;;;Cliente VIP
gustavo henrique teixeira;08/02/2024;5531988535040;pcardoso@bol.com.br;9541.54;Ativo;Roupas;RK65-22Hb;Rocha das Pedras;AM;21530258;Camisa;;Dinheiro;Entregar urgente
Dr. Ana Nunes;2024-06-28;+55 (071) 5643-4899;da-rosaevelyn@ramos.com;1932,97;Em análise;Roupas;tH18-10EU;Colônia Nascimento, 46, Granja De Freitas, 09232-904 Lopes / PA;XX;55220-012;Vestido;;;Entregar urgente
Julia Gonçalves;2023-08-02;+55 11 7629-2339;luiz-otavio20@da.net;9085.25;Inativo;Eletrônicos;Yv97-81fB;Rodovia Pinto, 14, Nossa Senhora Da Aparecida, 38467-610 Nunes de Moura / AL;SP;746767;Fone de Ouvido;3;;Atraso na entrega
Sra. Ryan Viana;04/01/2025;(051) 1025-1130;veniam@eveniet;2639.72;Inativo;Alimentos;kz98-18vA;Residencial de Lima, 56, Vila São Dimas, 06754-950 Barbosa / GO;AM;93004466;Chocolate;;Dinheiro;Entregar urgente
thiago araújo;2023-07-25;81 0787 5675;pintorebeca@da.net;7824,09;INATIVO;Eletrônicos;wT12-52TO;Ladeira Moura, 53, Santa Sofia, 44839383 da Paz / SC;AM;10854-461;Smartphone;2;Cartão;
Sr. Bruna Gonçalves;22/11/2024;21 3717 0370;carolinapinto@azevedo.com;7758.17;;Alimentos;TS33-92SE;Loteamento Nascimento, 32, Calafate, 88334-993 Oliveira / SC;MG;48965-924;Bolacha;;;Cliente VIP
bruna da rosa;23/04/2025;5551986884991;njesus@hotmail.com;7228,45;Em análise;Roupas;xv14-01hb;Vale Pinto, 904, São Tomaz, 29627545 Costela Paulista / AC;RS;14924-693;Vestido;2;Boleto;
dr. marcelo freitas;2024-06-22;71 3187-2487;diogojesus@teixeira.com;9057.02;ativo;Móveis;RX28-86WI;Correia de Goiás;SP;75788-479;Cadeira;2;PIX;Entregar urgente
Dra. Enzo Gabriel Almeida;21/06/2023;(031) 8492 2959;imendes@gmail.com;284,84;ativo;Alimentos;sJ91-06OQ;Pátio Julia Peixoto, 61, São Pedro, 93994196 Ferreira da Serra / PA;RJ;06016739;Refrigerante;;Dinheiro;Atraso na entrega
Dr. Gabriel Costa;21/12/2023;+55 31 4027 1238;joaquim68@yahoo.com.br;845,78;INATIVO;Eletrônicos;Dn65-12QI;Fernandes;RJ;28425765;Smartphone;;Dinheiro;Atraso na entrega
Sofia Ferreira;18/05/2024;84 3702 9524;costarafaela@yahoo.com.br;8988.19;Inativo;Alimentos;wN80-92Fl;Passarela Moreira, 8, Mirante, 64640-204 Sales / BA;SP;78446-900;Refrigerante;;PIX;Atraso na entrega
emanuelly da cruz;17/01/2024;+55 (051) 7670 0165;pariatur@numquam;1329.26;Ativo;Roupas;kJ79-61dh;Quadra Maria Vitória Alves, 25, Vila Nova Cachoeirinha 2ª Seção, 16780-691 Lopes da Praia / DF;AM;85188-845;Camisa;;Dinheiro;Entregar urgente
